,Player,Win Frequency,Cash Frequency,EV,1sigma
19,b'Paul McBeth of Brackets',0.32,0.68,118.0,129.0
0,b'A to the C 1',0.19,0.72,104.0,107.0
24,b'hammertime',0.18,0.4,70.0,112.0
13,b'JHAM',0.13,0.48,62.0,100.0
4,b'ChrisLauff 1',0.06,0.42,40.0,76.0
12,b'I Think I Chan',0.0,0.47,38.0,49.0
3,b'Bryce Hammerton',0.06,0.32,37.0,77.0
27,b'why am i screaming',0.0,0.33,28.0,47.0
6,b'DefaultUsername27 1',0.04,0.07,16.0,62.0
5,b'Cody Broughton 2',0.0,0.21,14.0,33.0
21,b'Trev is Guessing Again',0.0,0.2,12.0,26.0
14,b'Jay Huff is my father',0.0,0.17,10.0,23.0
7,b'Forced Zag fan',0.0,0.21,9.0,18.0
10,b'HammerMom',0.0,0.12,6.0,16.0
25,b'mary me tony pt3',0.02,0.03,6.0,38.0
23,b'dis is my bracket',0.0,0.05,6.0,27.0
2,b'Ba Ba Ba Ba Ba Basketball',0.0,0.11,4.0,14.0
20,b'The Bracket is Back',0.0,0.0,0.0,0.0
26,b'tricksters93 1',0.0,0.0,0.0,0.0
22,b'alekosss',0.0,0.0,0.0,0.0
8,b'GO BASKETBALL',0.0,0.0,0.0,0.0
9,b'GonZAGa',0.0,0.0,0.0,0.0
17,b'Moksha0736',0.0,0.0,0.0,0.0
16,b'KHAM',0.0,0.0,0.0,0.0
15,b'Jefe',0.0,0.0,0.0,0.0
1,b'B1G Boys',0.0,0.0,0.0,0.0
11,b'Holding onto Hope',0.0,0.0,0.0,0.0
18,b'Nanoosh',0.0,0.0,0.0,0.0
