,Player,Win Frequency,Cash Frequency,EV,1sigma
5,b'Anthony Bennetts are Bad',0.09,0.25,34.0,68.0
7,b'Bjhammer1 1',0.08,0.31,33.0,63.0
12,b'JHAM',0.07,0.33,33.0,60.0
14,b'Nancy Hammerton 1',0.05,0.32,30.0,56.0
18,b'\xf0\x9f\x8c\x9a',0.08,0.21,28.0,63.0
4,b'Aaron_C',0.05,0.27,27.0,55.0
13,b'KHAM',0.05,0.27,26.0,55.0
16,b'SHAM',0.04,0.28,24.0,49.0
9,b'Caw Caw Caw',0.05,0.23,23.0,53.0
17,b'SteelerNixon 1',0.07,0.15,22.0,60.0
2,"b""this one's for Rui""",0.03,0.22,20.0,47.0
11,b'Dayton was Robbed',0.05,0.16,20.0,53.0
15,b'Rick',0.04,0.16,19.0,52.0
6,b'BEHOLDEN DEZ NUTZ',0.04,0.15,19.0,50.0
10,b'Cody Bro 1',0.05,0.11,16.0,51.0
20,b'they wouldn\xe2\x80\x99t let me p...',0.02,0.15,14.0,41.0
3,b'22Ben167 1',0.04,0.11,14.0,47.0
19,b'boni\xe2\x80\x99s bracket busters',0.03,0.11,13.0,43.0
1,"b""Zayn&Paul's Bracket MEOW""",0.02,0.1,11.0,38.0
8,b'Burns_Rob_C 1',0.03,0.06,9.0,42.0
0,"b""Jeff's Confused Picks""",0.01,0.05,4.0,21.0
