,Player,Win Frequency,Cash Frequency,EV,1sigma
27,Pivotal Point,0.67,0.77,122.0,77.0
11,Jennifer's Amazing Bracket,0.33,0.33,57.0,82.0
0,Air Bud is still alive,0.0,0.49,20.0,20.0
20,My Champion Bracket,0.0,0.0,0.0,0.0
22,My Out-of-Sight Bracket,0.0,0.0,0.0,0.0
23,My Super Bracket,0.0,0.0,0.0,0.0
24,My Terrific Bracket,0.0,0.0,0.0,0.0
25,My Unmatched Bracket,0.0,0.0,0.0,0.0
26,No Idea What I’m Doing Bracket,0.0,0.0,0.0,0.0
28,Ramona's Quality Bracket,0.0,0.0,0.0,0.0
29,Roma,0.0,0.0,0.0,0.0
30,Trust The Process,0.0,0.23,5.0,8.0
31,Unda the Rotunda,0.0,0.0,0.0,0.0
32,Unforgiven bracket,0.0,0.0,0.0,0.0
33,Vanessa’s Vicious Bracket,0.0,0.33,21.0,31.0
34,Wakaflakaflocculus,0.0,0.67,44.0,31.0
35,johnny's Dazzling Bracket,0.0,0.0,0.0,0.0
36,sam is always right,0.0,0.0,0.0,0.0
37,sam is always wrong,0.0,0.0,0.0,0.0
21,My Okay Bracket,0.0,0.0,0.0,0.0
19,My Boss Bracket,0.0,0.0,0.0,0.0
1,At least one Cavs team is good,0.0,0.0,0.0,0.0
18,My Astonishing Bracket,0.0,0.0,0.0,0.0
2,Challenged Tony's Bracket,0.0,0.0,0.0,0.0
3,Chastity Chastain Champion,0.0,0.0,0.0,0.0
4,De'Andre Hunter's Wrist =(,0.0,0.18,4.0,8.0
5,Dylan's Blind Guesses,0.0,0.0,0.0,0.0
6,Fantasy Basketball Placeholder,0.0,0.0,0.0,0.0
7,Greg's Great Bracket,0.0,0.67,67.0,47.0
8,HHH TerpsWillRiseAgain,0.0,0.23,9.0,17.0
9,I just threw $10 away,0.0,0.0,0.0,0.0
10,Jarielle Lescarnacion,0.0,0.49,10.0,10.0
12,Josh Biederman's Bracket,0.0,0.0,0.0,0.0
13,KHAM,0.0,0.0,0.0,0.0
14,Maddie H.,0.0,0.51,40.0,44.0
15,March Sadness,0.0,0.0,0.0,0.0
16,Match Fixer,0.0,0.1,2.0,6.0
17,Mike Hall,0.0,0.0,0.0,0.0
38,whos making all that bracket,0.0,0.0,0.0,0.0
